INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182032480,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,948,,4/30/2018 19:00,2018,4,Monday,19,Part Two,AMORY ST,42.31915678,-71.10067583,"(42.31915678, -71.10067583)"
I182032479,3115,Investigate Person,INVESTIGATE PERSON,C6,206,,4/30/2018 20:10,2018,4,Monday,20,Part Three,CONGRESS ST,42.35053712,-71.04873486,"(42.35053712, -71.04873486)"
I182032477,3114,Investigate Property,INVESTIGATE PROPERTY,B3,465,,4/30/2018 20:33,2018,4,Monday,20,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I182032476,3115,Investigate Person,INVESTIGATE PERSON,B3,465,,4/30/2018 20:33,2018,4,Monday,20,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I182032475,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,285,,4/30/2018 20:00,2018,4,Monday,20,Part One,WARWICK ST,42.33609259,-71.08420596,"(42.33609259, -71.08420596)"
I182032474,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,367,,4/30/2018 19:23,2018,4,Monday,19,Part Three,ADAMS ST,42.29281598,-71.05733642,"(42.29281598, -71.05733642)"
I182032473,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,518,,4/30/2018 18:27,2018,4,Monday,18,Part Three,GLENWOOD AVE,42.24551633,-71.12268984,"(42.24551633, -71.12268984)"
I182032472,562,Other Burglary,BURGLARY - OTHER - NO FORCE,E13,577,,4/29/2018 16:30,2018,4,Sunday,16,Part One,AMORY ST,42.3179875,-71.10148944,"(42.31798750, -71.10148944)"
I182032471,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,611,,4/30/2018 19:57,2018,4,Monday,19,Part Two,HUNTINGTON AVE,42.33225457,-71.11160342,"(42.33225457, -71.11160342)"
I182032470,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,413,,4/30/2018 19:29,2018,4,Monday,19,Part Two,GALLIVAN BLVD,42.27846043,-71.07778192,"(42.27846043, -71.07778192)"
I182032469,801,Simple Assault,ASSAULT - SIMPLE,A1,111,,4/30/2018 19:20,2018,4,Monday,19,Part Two,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)"
I182032468,3115,Investigate Person,INVESTIGATE PERSON,A7,29,,4/29/2018 23:15,2018,4,Sunday,23,Part Three,MAVERICK SQ,42.36943145,-71.03917179,"(42.36943145, -71.03917179)"
I182032467,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,180,,4/30/2018 19:14,2018,4,Monday,19,Part Three,HAMPDEN ST,42.32801728,-71.07511595,"(42.32801728, -71.07511595)"
I182032466,2647,Other,THREATS TO DO BODILY HARM,, ,,4/30/2018 19:35,2018,4,Monday,19,Part Two,,42.32951559,-71.05700728,"(42.32951559, -71.05700728)"
I182032465,1844,Drug Violation,DRUGS - POSS CLASS C,, ,,4/30/2018 19:01,2018,4,Monday,19,Part Two,,42.37017428,-71.03895961,"(42.37017428, -71.03895961)"
I182032465,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,, ,,4/30/2018 19:01,2018,4,Monday,19,Part Two,,42.37017428,-71.03895961,"(42.37017428, -71.03895961)"
I182032464,3115,Investigate Person,INVESTIGATE PERSON,A1,77,,4/30/2018 19:42,2018,4,Monday,19,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182032463,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,, ,,4/30/2018 19:20,2018,4,Monday,19,Part Two,,42.36546647,-71.06111881,"(42.36546647, -71.06111881)"
I182032463,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,, ,,4/30/2018 19:20,2018,4,Monday,19,Part Three,,42.36546647,-71.06111881,"(42.36546647, -71.06111881)"
I182032461,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A7,5,,4/30/2018 18:31,2018,4,Monday,18,Part Three,SAINT ANDREW RD,42.38434223,-71.00224383,"(42.38434223, -71.00224383)"
I182032460,612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,B3,449,,4/30/2018 9:00,2018,4,Monday,9,Part One,WHITFIELD ST,42.29276044,-71.07486603,"(42.29276044, -71.07486603)"
I182032459,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,174,,4/30/2018 19:18,2018,4,Monday,19,Part One,SOUTHAMPTON ST,42.32962107,-71.05763827,"(42.32962107, -71.05763827)"
I182032458,2629,Harassment,HARASSMENT,D14,795,,4/4/2018 19:28,2018,4,Wednesday,19,Part Two,IMRIE RD,42.3526349,-71.13885401,"(42.35263490, -71.13885401)"
I182032455,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,,4/30/2018 18:50,2018,4,Monday,18,Part Two,BROMFIELD ST,42.35717394,-71.06126832,"(42.35717394, -71.06126832)"
I182032453,619,Larceny,LARCENY ALL OTHERS,B2,311,,4/30/2018 18:49,2018,4,Monday,18,Part One,WARREN ST,42.31865102,-71.08162344,"(42.31865102, -71.08162344)"
I182032451,613,Larceny,LARCENY SHOPLIFTING,A1,65,,4/28/2018 16:47,2018,4,Saturday,16,Part One,CAMBRIDGE ST,42.36122324,-71.06593235,"(42.36122324, -71.06593235)"
I182032449,617,Larceny,LARCENY THEFT FROM BUILDING,B3,458,,4/30/2018 17:39,2018,4,Monday,17,Part One,OLD RD,42.30226502,-71.08494674,"(42.30226502, -71.08494674)"
I182032448,724,Auto Theft,AUTO THEFT,B2,324,,4/30/2018 18:30,2018,4,Monday,18,Part One,DEWEY ST,42.31676691,-71.07714054,"(42.31676691, -71.07714054)"
I182032447,2610,Other,TRESPASSING,C11,364,,4/30/2018 18:26,2018,4,Monday,18,Part Two,WHITTEN ST,42.293755,-71.05789109,"(42.29375500, -71.05789109)"
I182032446,3115,Investigate Person,INVESTIGATE PERSON,, ,,4/30/2018 18:00,2018,4,Monday,18,Part Three,,42.27284102,-71.14368335,"(42.27284102, -71.14368335)"
I182032445,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,459,,4/30/2018 18:47,2018,4,Monday,18,Part One,SEAVER ST,42.30379334,-71.08183636,"(42.30379334, -71.08183636)"
I182032444,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,623,,4/30/2018 18:36,2018,4,Monday,18,Part Two,BROOKLINE AVE,42.34849937,-71.09719984,"(42.34849937, -71.09719984)"
I182032443,3125,Warrant Arrests,WARRANT ARREST,B2,318,,4/30/2018 18:18,2018,4,Monday,18,Part Three,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182032442,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,240,,4/30/2018 18:36,2018,4,Monday,18,Part Three,COLUMBIA RD,42.31959298,-71.062607,"(42.31959298, -71.06260700)"
I182032441,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,581,,4/30/2018 18:00,2018,4,Monday,18,Part Three,CENTRE ST,42.32291406,-71.10328402,"(42.32291406, -71.10328402)"
I182032440,3115,Investigate Person,INVESTIGATE PERSON,E5,691,,4/30/2018 16:57,2018,4,Monday,16,Part Three,REDLANDS RD,42.28898462,-71.15224773,"(42.28898462, -71.15224773)"
I182032437,613,Larceny,LARCENY SHOPLIFTING,D4,130,,4/30/2018 15:49,2018,4,Monday,15,Part One,HUNTINGTON AVE,42.34857652,-71.07772012,"(42.34857652, -71.07772012)"
I182032436,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,563,,4/30/2018 16:30,2018,4,Monday,16,Part Three,FLORENCE ST,42.28730075,-71.12155582,"(42.28730075, -71.12155582)"
I182032435,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,441,,4/28/2018 20:00,2018,4,Saturday,20,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
I182032434,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,178,,4/30/2018 17:45,2018,4,Monday,17,Part Three,MASSACHUSETTS AVE,42.32930936,-71.06898572,"(42.32930936, -71.06898572)"
I182032433,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,312,,4/30/2018 18:25,2018,4,Monday,18,Part Two,HOLLANDER ST,42.3156892,-71.08951391,"(42.31568920, -71.08951391)"
I182032432,3115,Investigate Person,INVESTIGATE PERSON,E18,493,,4/30/2018 17:35,2018,4,Monday,17,Part Three,FRAZER ST,42.26273505,-71.11078287,"(42.26273505, -71.11078287)"
I182032431,3201,Property Lost,PROPERTY - LOST,B3,456,,4/30/2018 10:00,2018,4,Monday,10,Part Three,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)"
I182032430,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,, ,,4/30/2018 16:26,2018,4,Monday,16,Part Two,HOLLANDER,-1,-1,"(-1.00000000, -1.00000000)"
I182032429,617,Larceny,LARCENY THEFT FROM BUILDING,D4,627,,4/30/2018 15:30,2018,4,Monday,15,Part One,BROOKLINE AVE,42.3451828,-71.10066932,"(42.34518280, -71.10066932)"
I182032427,2610,Other,TRESPASSING,A1,106,,4/30/2018 16:47,2018,4,Monday,16,Part Two,FEDERAL ST,42.35380161,-71.05620401,"(42.35380161, -71.05620401)"
I182032426,3115,Investigate Person,INVESTIGATE PERSON,A7,28,,4/30/2018 18:20,2018,4,Monday,18,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182032425,301,Robbery,ROBBERY - STREET,B2,298,,4/30/2018 17:43,2018,4,Monday,17,Part One,DALE ST,42.32328409,-71.08937234,"(42.32328409, -71.08937234)"
I182032424,3207,Property Found,PROPERTY - FOUND,, ,,4/30/2018 16:52,2018,4,Monday,16,Part Three,WILLIAM T MORRISSEY,-1,-1,"(-1.00000000, -1.00000000)"
I182032423,3115,Investigate Person,INVESTIGATE PERSON,B2,237,,4/30/2018 15:45,2018,4,Monday,15,Part Three,ELDER ST,42.32022882,-71.06307063,"(42.32022882, -71.06307063)"
I182032422,3207,Property Found,PROPERTY - FOUND,A15,50,,4/30/2018 16:00,2018,4,Monday,16,Part Three,ROLAND ST,42.3815959,-71.08014887,"(42.38159590, -71.08014887)"
I182032421,802,Simple Assault,ASSAULT SIMPLE - BATTERY,, ,,4/30/2018 17:53,2018,4,Monday,17,Part Two,,42.28158104,-71.08701123,"(42.28158104, -71.08701123)"
I182032420,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,294,,4/30/2018 17:20,2018,4,Monday,17,Part Two,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)"
I182032419,2647,Other,THREATS TO DO BODILY HARM,A1,72,,4/30/2018 15:36,2018,4,Monday,15,Part Two,CAMBRIDGE ST,42.36109742,-71.06206081,"(42.36109742, -71.06206081)"
I182032417,2906,Violations,VAL - OPERATING UNREG/UNINS  CAR,, ,,4/30/2018 16:55,2018,4,Monday,16,Part Two,,42.30295085,-71.05258978,"(42.30295085, -71.05258978)"
I182032416,1402,Vandalism,VANDALISM,C11,337,,4/29/2018 22:30,2018,4,Sunday,22,Part Two,VAUGHAN AVE,42.30626249,-71.07633157,"(42.30626249, -71.07633157)"
I182032415,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,106,,4/24/2018 18:45,2018,4,Tuesday,18,Part Two,FEDERAL ST,42.3542202,-71.05627778,"(42.35422020, -71.05627778)"
I182032414,3114,Investigate Property,INVESTIGATE PROPERTY,C6,256,,4/30/2018 15:40,2018,4,Monday,15,Part Three,WILLIAM T MORRISSEY BLVD,42.31571781,-71.04832345,"(42.31571781, -71.04832345)"
I182032412,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,61,,4/27/2018 9:30,2018,4,Friday,9,Part One,NASHUA ST,42.36600842,-71.06403504,"(42.36600842, -71.06403504)"
I182032412,1402,Vandalism,VANDALISM,A1,61,,4/27/2018 9:30,2018,4,Friday,9,Part Two,NASHUA ST,42.36600842,-71.06403504,"(42.36600842, -71.06403504)"
I182032411,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,459,,4/30/2018 14:00,2018,4,Monday,14,Part One,COLUMBIA RD,42.3051015,-71.08083089,"(42.30510150, -71.08083089)"
I182032410,3115,Investigate Person,INVESTIGATE PERSON,, ,,4/30/2018 16:31,2018,4,Monday,16,Part Three,,42.35055574,-71.13106154,"(42.35055574, -71.13106154)"
I182032409,613,Larceny,LARCENY SHOPLIFTING,A1,112,,4/30/2018 16:20,2018,4,Monday,16,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)"
I182032408,1107,Fraud,FRAUD - IMPERSONATION,B2,324,,4/30/2018 10:03,2018,4,Monday,10,Part Two,DANUBE ST,42.31743922,-71.07547845,"(42.31743922, -71.07547845)"
I182032407,3301,Verbal Disputes,VERBAL DISPUTE,B2,331,,4/30/2018 16:35,2018,4,Monday,16,Part Three,DRAYTON AVE,42.31215757,-71.07056813,"(42.31215757, -71.07056813)"
I182032405,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,4/30/2018 10:00,2018,4,Monday,10,Part Three,,42.3259494,-71.08345013,"(42.32594940, -71.08345013)"
I182032404,619,Larceny,LARCENY ALL OTHERS,E18,521,,4/30/2018 15:22,2018,4,Monday,15,Part One,FAIRMOUNT AVE,42.2554572,-71.12078435,"(42.25545720, -71.12078435)"
I182032402,3115,Investigate Person,INVESTIGATE PERSON,B3,465,,4/30/2018 17:11,2018,4,Monday,17,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
I182032401,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,796,,4/30/2018 17:10,2018,4,Monday,17,Part Two,SAINT LUKES RD,42.35153421,-71.12710744,"(42.35153421, -71.12710744)"
I182032400,1402,Vandalism,VANDALISM,C6, ,,4/29/2018 18:00,2018,4,Sunday,18,Part Two,DISTRICT AVE,,,"(0.00000000, 0.00000000)"
I182032400,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6, ,,4/29/2018 18:00,2018,4,Sunday,18,Part One,DISTRICT AVE,,,"(0.00000000, 0.00000000)"
I182032399,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,181,,4/27/2018 21:00,2018,4,Friday,21,Part One,SHIRLEY ST,42.3256949,-71.06816778,"(42.32569490, -71.06816778)"
I182032397,2629,Harassment,HARASSMENT,E18,533,,4/29/2018 20:30,2018,4,Sunday,20,Part Two,RIVER ST,42.24973808,-71.13094002,"(42.24973808, -71.13094002)"
I182032396,3501,Missing Person Reported,MISSING PERSON,B2,281,,4/30/2018 16:51,2018,4,Monday,16,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182032395,3501,Missing Person Reported,MISSING PERSON,B2,281,,4/30/2018 16:49,2018,4,Monday,16,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182032394,3501,Missing Person Reported,MISSING PERSON,D4,156,,4/30/2018 16:48,2018,4,Monday,16,Part Three,W SPRINGFIELD ST,42.33795319,-71.0774931,"(42.33795319, -71.07749310)"
I182032392,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A7,30,,4/30/2018 16:34,2018,4,Monday,16,Part Three,EVERETT ST,42.3680977,-71.03606404,"(42.36809770, -71.03606404)"
I182032391,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,427,,4/26/2018 16:30,2018,4,Thursday,16,Part Two,NORFOLK ST,42.27818669,-71.09047287,"(42.27818669, -71.09047287)"
I182032390,2629,Harassment,HARASSMENT,A15,900,,4/30/2018 16:34,2018,4,Monday,16,Part Two,MEDFORD ST,42.37913651,-71.05648765,"(42.37913651, -71.05648765)"
I182032389,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,436,,4/30/2018 16:32,2018,4,Monday,16,Part Two,CHIPMAN ST,42.28799062,-71.07448379,"(42.28799062, -71.07448379)"
I182032388,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,316,,4/30/2018 15:46,2018,4,Monday,15,Part Three,WALNUT AVE,42.3143047,-71.09391348,"(42.31430470, -71.09391348)"
I182032384,2610,Other,TRESPASSING,A1,106,,4/30/2018 15:15,2018,4,Monday,15,Part Two,FEDERAL ST,42.35380161,-71.05620401,"(42.35380161, -71.05620401)"
I182032383,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,121,,4/30/2018 2:15,2018,4,Monday,2,Part Three,STUART ST,42.35106637,-71.06549569,"(42.35106637, -71.06549569)"
I182032382,2647,Other,THREATS TO DO BODILY HARM,C6,214,,4/29/2018 15:29,2018,4,Sunday,15,Part Two,W FIFTH ST,42.33499037,-71.04854467,"(42.33499037, -71.04854467)"
I182032381,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,237,,4/30/2018 12:35,2018,4,Monday,12,Part One,COLUMBIA RD,42.31955207,-71.06288729,"(42.31955207, -71.06288729)"
I182032380,3201,Property Lost,PROPERTY - LOST,E18,503,,4/29/2018 17:00,2018,4,Sunday,17,Part Three,AMERICAN LEGION HWY,42.28446743,-71.11183089,"(42.28446743, -71.11183089)"
I182032379,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,459,,4/30/2018 15:20,2018,4,Monday,15,Part Two,WASHINGTON ST,42.30356539,-71.07868148,"(42.30356539, -71.07868148)"
I182032378,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,151,,4/21/2018 20:00,2018,4,Saturday,20,Part Two,BERKELEY ST,42.3460551,-71.07050669,"(42.34605510, -71.07050669)"
I182032377,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C6,256,,4/30/2018 15:05,2018,4,Monday,15,Part Three,WILLIAM T MORRISSEY BLVD,42.31928523,-71.05027167,"(42.31928523, -71.05027167)"
I182032375,2647,Other,THREATS TO DO BODILY HARM,D14,783,,4/30/2018 15:31,2018,4,Monday,15,Part Two,CAMELOT CT,42.35007312,-71.14108202,"(42.35007312, -71.14108202)"
I182032374,3201,Property Lost,PROPERTY - LOST,A7,17,,4/28/2018 19:45,2018,4,Saturday,19,Part Three,CONDOR ST,42.38133256,-71.02858842,"(42.38133256, -71.02858842)"
I182032373,613,Larceny,LARCENY SHOPLIFTING,D4,146,,4/30/2018 14:29,2018,4,Monday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182032372,3205,License Plate Related Incidents,M/V PLATES - LOST,C11,335,,4/27/2018 17:00,2018,4,Friday,17,Part Three,CLARKSON ST,42.30829668,-71.06747771,"(42.30829668, -71.06747771)"
I182032370,613,Larceny,LARCENY SHOPLIFTING,D4,138,,4/30/2018 14:54,2018,4,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
I182032369,3114,Investigate Property,INVESTIGATE PROPERTY,D4,624,,4/30/2018 15:04,2018,4,Monday,15,Part Three,YAWKEY WAY,42.3465382,-71.09880598,"(42.34653820, -71.09880598)"
I182032368,613,Larceny,LARCENY SHOPLIFTING,A1,105,,4/30/2018 13:46,2018,4,Monday,13,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)"
I182032367,3410,Towed,TOWED MOTOR VEHICLE,B2,292,,4/30/2018 14:08,2018,4,Monday,14,Part Three,LAMBERT AVE,42.32905325,-71.08891048,"(42.32905325, -71.08891048)"
I182032366,3301,Verbal Disputes,VERBAL DISPUTE,D4,167,,4/30/2018 14:08,2018,4,Monday,14,Part Three,E CANTON ST,42.33789065,-71.06919427,"(42.33789065, -71.06919427)"
I182032365,619,Larceny,LARCENY ALL OTHERS,C11,347,,4/2/2018 14:50,2018,4,Monday,14,Part One,ADAMS ST,42.30569111,-71.06164783,"(42.30569111, -71.06164783)"
I182032364,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,731,,4/30/2018 12:02,2018,4,Monday,12,Part Three,BAKER ST,42.28427258,-71.16972205,"(42.28427258, -71.16972205)"
I182032363,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,435,,4/30/2018 10:40,2018,4,Monday,10,Part Two,WHITMAN ST,42.28701738,-71.07706453,"(42.28701738, -71.07706453)"
I182032362,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,307,,4/28/2018 19:00,2018,4,Saturday,19,Part One,WESTMINSTER AVE,42.31668068,-71.09638886,"(42.31668068, -71.09638886)"
I182032362,1402,Vandalism,VANDALISM,E13,307,,4/28/2018 19:00,2018,4,Saturday,19,Part Two,WESTMINSTER AVE,42.31668068,-71.09638886,"(42.31668068, -71.09638886)"
I182032361,617,Larceny,LARCENY THEFT FROM BUILDING,C11,376,,4/27/2018 18:00,2018,4,Friday,18,Part One,REDFIELD ST,42.28768155,-71.04196364,"(42.28768155, -71.04196364)"
I182032359,3201,Property Lost,PROPERTY - LOST,A1,121,,4/28/2018 2:20,2018,4,Saturday,2,Part Three,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)"
I182032358,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,307,,4/30/2018 12:00,2018,4,Monday,12,Part Three,WASHINGTON ST,42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
I182032357,3114,Investigate Property,INVESTIGATE PROPERTY,D14,778,,4/30/2018 14:31,2018,4,Monday,14,Part Three,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600, -71.15049850)"
I182032355,3201,Property Lost,PROPERTY - LOST,C11,350,,4/30/2018 14:21,2018,4,Monday,14,Part Three,DORCHESTER AVE,42.30254239,-71.0595669,"(42.30254239, -71.05956690)"
I182032354,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,4/30/2018 14:22,2018,4,Monday,14,Part Three,,42.32867316,-71.08344622,"(42.32867316, -71.08344622)"
I182032353,3207,Property Found,PROPERTY - FOUND,A7,28,,4/30/2018 11:00,2018,4,Monday,11,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182032352,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,347,,4/30/2018 13:55,2018,4,Monday,13,Part Three,ADAMS ST,42.30658786,-71.06207255,"(42.30658786, -71.06207255)"
I182032349,619,Larceny,LARCENY ALL OTHERS,E18,520,,4/29/2018 5:54,2018,4,Sunday,5,Part One,RIVER ST,42.25592648,-71.12317207,"(42.25592648, -71.12317207)"
I182032346,2629,Harassment,HARASSMENT,D14,801,,4/30/2018 13:23,2018,4,Monday,13,Part Two,HARVARD AVE,42.35375411,-71.13225621,"(42.35375411, -71.13225621)"
I182032343,619,Larceny,LARCENY ALL OTHERS,D4,130,,4/27/2018 0:30,2018,4,Friday,24,Part One,EXETER ST,42.34828759,-71.07891773,"(42.34828759, -71.07891773)"
I182032342,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,397,,4/30/2018 13:17,2018,4,Monday,13,Part Three,LITHGOW ST,42.2899488,-71.06963936,"(42.28994880, -71.06963936)"
I182032340,3115,Investigate Person,INVESTIGATE PERSON,A15,900,,4/30/2018 13:47,2018,4,Monday,13,Part Three,TUFTS ST,42.37797555,-71.05690284,"(42.37797555, -71.05690284)"
I182032339,3115,Investigate Person,INVESTIGATE PERSON,D14,784,,4/30/2018 13:25,2018,4,Monday,13,Part Three,CAMBRIDGE ST,42.3499624,-71.14762531,"(42.34996240, -71.14762531)"
I182032338,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,450,,4/30/2018 13:23,2018,4,Monday,13,Part Two,WASHINGTON ST,42.29057504,-71.07165726,"(42.29057504, -71.07165726)"
I182032337,1402,Vandalism,VANDALISM,B2,330,,4/29/2018 0:30,2018,4,Sunday,24,Part Two,BLUE HILL AVE,42.30564724,-71.08450724,"(42.30564724, -71.08450724)"
I182032336,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,909,,4/30/2018 13:12,2018,4,Monday,13,Part Three,RUGGLES ST,42.33445761,-71.088061,"(42.33445761, -71.08806100)"
I182032335,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,C11,332,,4/30/2018 13:08,2018,4,Monday,13,Part Three,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
