"","Day","Count","Crime_Type"
"59","Monday",55,"Verbal Disputes"
"60","Monday",109,"Motor Vehicle Accident Response"
"61","Monday",70,"Investigate Person"
"62","Monday",59,"Drug Violation"
"63","Monday",19,"Residential Burglary"
"64","Monday",47,"Investigate Property"
"65","Monday",117,"Medical Assistance"
"66","Monday",0,"Other Burglary"
"67","Monday",47,"Simple Assault"
"68","Monday",18,"Violations"
"69","Monday",79,"Larceny"
"70","Monday",21,"Aggravated Assault"
"71","Monday",31,"Harassment"
"72","Monday",9,"Auto Theft"
"73","Monday",61,"Other"
"74","Monday",26,"Larceny From Motor Vehicle"
"75","Monday",11,"Warrant Arrests"
"76","Monday",30,"Property Lost"
"77","Monday",5,"Robbery"
"78","Monday",11,"Property Found"
"79","Monday",31,"Vandalism"
"80","Monday",20,"Fraud"
"81","Monday",11,"Missing Person Reported"
"82","Monday",1,"License Plate Related Incidents"
"83","Monday",1,"Firearm Discovery"
"84","Monday",9,"License Violation"
"85","Monday",11,"Confidence Games"
"86","Monday",4,"Auto Theft Recovery"
"87","Monday",12,"Police Service Incidents"
"88","Monday",6,"Disorderly Conduct"
"89","Monday",3,"Evading Fare"
"90","Monday",6,"Commercial Burglary"
"91","Monday",7,"Fire Related Reports"
"92","Monday",13,"Missing Person Located"
"93","Monday",4,"Recovered Stolen Property"
"94","Monday",0,"Assembly or Gathering Violations"
"95","Monday",2,"Offenses Against Child / Family"
"96","Monday",1,"Counterfeiting"
"97","Monday",2,"Ballistics"
"98","Monday",4,"Property Related Damage"
"99","Monday",0,"Embezzlement"
"100","Monday",0,"Prisoner Related Incidents"
"101","Monday",4,"Restraining Order Violations"
"102","Monday",1,"Liquor Violation"
"103","Monday",9,"Firearm Violations"
"104","Monday",5,"Search Warrants"
"105","Monday",1,"Operating Under the Influence"
"106","Monday",0,"Phone Call Complaints"
"107","Monday",2,"Landlord/Tenant Disputes"
"108","Monday",2,"HOME INVASION"
"109","Monday",3,"Service"
"110","Monday",0,"Criminal Harassment"
"111","Monday",1,"Harbor Related Incidents"
"112","Monday",0,"Arson"
"113","Monday",0,"Bomb Hoax"
"114","Monday",0,"Homicide"
"115","Tuesday",36,"Towed"
"116","Tuesday",34,"Verbal Disputes"
"117","Tuesday",92,"Motor Vehicle Accident Response"
"118","Tuesday",74,"Investigate Person"
"119","Tuesday",38,"Drug Violation"
"120","Tuesday",10,"Residential Burglary"
"121","Tuesday",41,"Investigate Property"
"122","Tuesday",100,"Medical Assistance"
"123","Tuesday",2,"Other Burglary"
"124","Tuesday",45,"Simple Assault"
"125","Tuesday",16,"Violations"
"126","Tuesday",79,"Larceny"
"127","Tuesday",19,"Aggravated Assault"
"128","Tuesday",16,"Harassment"
"129","Tuesday",11,"Auto Theft"
"130","Tuesday",53,"Other"
"131","Tuesday",25,"Larceny From Motor Vehicle"
"132","Tuesday",15,"Warrant Arrests"
"133","Tuesday",38,"Property Lost"
"134","Tuesday",7,"Robbery"
"135","Tuesday",25,"Property Found"
"136","Tuesday",39,"Vandalism"
"137","Tuesday",31,"Fraud"
"138","Tuesday",8,"Missing Person Reported"
"139","Tuesday",4,"License Plate Related Incidents"
"140","Tuesday",1,"Firearm Discovery"
"141","Tuesday",12,"License Violation"
"142","Tuesday",5,"Confidence Games"
"143","Tuesday",5,"Auto Theft Recovery"
"144","Tuesday",15,"Police Service Incidents"
"145","Tuesday",6,"Disorderly Conduct"
"146","Tuesday",1,"Evading Fare"
"147","Tuesday",2,"Commercial Burglary"
"148","Tuesday",6,"Fire Related Reports"
"149","Tuesday",11,"Missing Person Located"
"150","Tuesday",6,"Recovered Stolen Property"
"151","Tuesday",2,"Assembly or Gathering Violations"
"152","Tuesday",0,"Offenses Against Child / Family"
"153","Tuesday",3,"Counterfeiting"
"154","Tuesday",1,"Ballistics"
"155","Tuesday",2,"Property Related Damage"
"156","Tuesday",0,"Embezzlement"
"157","Tuesday",2,"Prisoner Related Incidents"
"158","Tuesday",1,"Restraining Order Violations"
"159","Tuesday",0,"Liquor Violation"
"160","Tuesday",4,"Firearm Violations"
"161","Tuesday",2,"Search Warrants"
"162","Tuesday",1,"Operating Under the Influence"
"163","Tuesday",0,"Phone Call Complaints"
"164","Tuesday",6,"Landlord/Tenant Disputes"
"165","Tuesday",1,"HOME INVASION"
"166","Tuesday",1,"Service"
"167","Tuesday",0,"Criminal Harassment"
"168","Tuesday",0,"Harbor Related Incidents"
"169","Tuesday",1,"Arson"
"170","Tuesday",0,"Bomb Hoax"
"171","Tuesday",1,"Homicide"
"172","Wednesday",34,"Towed"
"173","Wednesday",53,"Verbal Disputes"
"174","Wednesday",83,"Motor Vehicle Accident Response"
"175","Wednesday",81,"Investigate Person"
"176","Wednesday",41,"Drug Violation"
"177","Wednesday",17,"Residential Burglary"
"178","Wednesday",32,"Investigate Property"
"179","Wednesday",97,"Medical Assistance"
"180","Wednesday",0,"Other Burglary"
"181","Wednesday",61,"Simple Assault"
"182","Wednesday",25,"Violations"
"183","Wednesday",71,"Larceny"
"184","Wednesday",20,"Aggravated Assault"
"185","Wednesday",12,"Harassment"
"186","Wednesday",5,"Auto Theft"
"187","Wednesday",78,"Other"
"188","Wednesday",20,"Larceny From Motor Vehicle"
"189","Wednesday",12,"Warrant Arrests"
"190","Wednesday",21,"Property Lost"
"191","Wednesday",14,"Robbery"
"192","Wednesday",17,"Property Found"
"193","Wednesday",34,"Vandalism"
"194","Wednesday",14,"Fraud"
"195","Wednesday",14,"Missing Person Reported"
"196","Wednesday",2,"License Plate Related Incidents"
"197","Wednesday",2,"Firearm Discovery"
"198","Wednesday",20,"License Violation"
"199","Wednesday",9,"Confidence Games"
"200","Wednesday",8,"Auto Theft Recovery"
"201","Wednesday",15,"Police Service Incidents"
"202","Wednesday",8,"Disorderly Conduct"
"203","Wednesday",0,"Evading Fare"
"204","Wednesday",2,"Commercial Burglary"
"205","Wednesday",7,"Fire Related Reports"
"206","Wednesday",22,"Missing Person Located"
"207","Wednesday",6,"Recovered Stolen Property"
"208","Wednesday",2,"Assembly or Gathering Violations"
"209","Wednesday",2,"Offenses Against Child / Family"
"210","Wednesday",3,"Counterfeiting"
"211","Wednesday",1,"Ballistics"
"212","Wednesday",0,"Property Related Damage"
"213","Wednesday",1,"Embezzlement"
"214","Wednesday",0,"Prisoner Related Incidents"
"215","Wednesday",4,"Restraining Order Violations"
"216","Wednesday",3,"Liquor Violation"
"217","Wednesday",6,"Firearm Violations"
"218","Wednesday",4,"Search Warrants"
"219","Wednesday",3,"Operating Under the Influence"
"220","Wednesday",1,"Phone Call Complaints"
"221","Wednesday",2,"Landlord/Tenant Disputes"
"222","Wednesday",0,"HOME INVASION"
"223","Wednesday",1,"Service"
"224","Wednesday",1,"Criminal Harassment"
"225","Wednesday",0,"Harbor Related Incidents"
"226","Wednesday",0,"Arson"
"227","Wednesday",0,"Bomb Hoax"
"228","Wednesday",0,"Homicide"
"229","Thursday",35,"Towed"
"230","Thursday",46,"Verbal Disputes"
"231","Thursday",76,"Motor Vehicle Accident Response"
"232","Thursday",68,"Investigate Person"
"233","Thursday",37,"Drug Violation"
"234","Thursday",17,"Residential Burglary"
"235","Thursday",47,"Investigate Property"
"236","Thursday",107,"Medical Assistance"
"237","Thursday",1,"Other Burglary"
"238","Thursday",56,"Simple Assault"
"239","Thursday",21,"Violations"
"240","Thursday",82,"Larceny"
"241","Thursday",19,"Aggravated Assault"
"242","Thursday",20,"Harassment"
"243","Thursday",18,"Auto Theft"
"244","Thursday",66,"Other"
"245","Thursday",29,"Larceny From Motor Vehicle"
"246","Thursday",10,"Warrant Arrests"
"247","Thursday",24,"Property Lost"
"248","Thursday",10,"Robbery"
"249","Thursday",10,"Property Found"
"250","Thursday",28,"Vandalism"
"251","Thursday",25,"Fraud"
"252","Thursday",12,"Missing Person Reported"
"253","Thursday",2,"License Plate Related Incidents"
"254","Thursday",5,"Firearm Discovery"
"255","Thursday",8,"License Violation"
"256","Thursday",6,"Confidence Games"
"257","Thursday",5,"Auto Theft Recovery"
"258","Thursday",9,"Police Service Incidents"
"259","Thursday",9,"Disorderly Conduct"
"260","Thursday",3,"Evading Fare"
"261","Thursday",6,"Commercial Burglary"
"262","Thursday",2,"Fire Related Reports"
"263","Thursday",9,"Missing Person Located"
"264","Thursday",4,"Recovered Stolen Property"
"265","Thursday",3,"Assembly or Gathering Violations"
"266","Thursday",2,"Offenses Against Child / Family"
"267","Thursday",3,"Counterfeiting"
"268","Thursday",0,"Ballistics"
"269","Thursday",2,"Property Related Damage"
"270","Thursday",1,"Embezzlement"
"271","Thursday",3,"Prisoner Related Incidents"
"272","Thursday",3,"Restraining Order Violations"
"273","Thursday",2,"Liquor Violation"
"274","Thursday",11,"Firearm Violations"
"275","Thursday",10,"Search Warrants"
"276","Thursday",1,"Operating Under the Influence"
"277","Thursday",1,"Phone Call Complaints"
"278","Thursday",3,"Landlord/Tenant Disputes"
"279","Thursday",2,"HOME INVASION"
"280","Thursday",0,"Service"
"281","Thursday",0,"Criminal Harassment"
"282","Thursday",1,"Harbor Related Incidents"
"283","Thursday",1,"Arson"
"284","Thursday",0,"Bomb Hoax"
"285","Thursday",1,"Homicide"
"286","Friday",41,"Towed"
"287","Friday",32,"Verbal Disputes"
"288","Friday",81,"Motor Vehicle Accident Response"
"289","Friday",73,"Investigate Person"
"290","Friday",55,"Drug Violation"
"291","Friday",12,"Residential Burglary"
"292","Friday",39,"Investigate Property"
"293","Friday",91,"Medical Assistance"
"294","Friday",0,"Other Burglary"
"295","Friday",57,"Simple Assault"
"296","Friday",18,"Violations"
"297","Friday",89,"Larceny"
"298","Friday",28,"Aggravated Assault"
"299","Friday",10,"Harassment"
"300","Friday",12,"Auto Theft"
"301","Friday",48,"Other"
"302","Friday",27,"Larceny From Motor Vehicle"
"303","Friday",21,"Warrant Arrests"
"304","Friday",32,"Property Lost"
"305","Friday",7,"Robbery"
"306","Friday",10,"Property Found"
"307","Friday",40,"Vandalism"
"308","Friday",16,"Fraud"
"309","Friday",18,"Missing Person Reported"
"310","Friday",2,"License Plate Related Incidents"
"311","Friday",0,"Firearm Discovery"
"312","Friday",6,"License Violation"
"313","Friday",7,"Confidence Games"
"314","Friday",1,"Auto Theft Recovery"
"315","Friday",9,"Police Service Incidents"
"316","Friday",6,"Disorderly Conduct"
"317","Friday",1,"Evading Fare"
"318","Friday",3,"Commercial Burglary"
"319","Friday",13,"Fire Related Reports"
"320","Friday",18,"Missing Person Located"
"321","Friday",3,"Recovered Stolen Property"
"322","Friday",2,"Assembly or Gathering Violations"
"323","Friday",1,"Offenses Against Child / Family"
"324","Friday",4,"Counterfeiting"
"325","Friday",1,"Ballistics"
"326","Friday",2,"Property Related Damage"
"327","Friday",1,"Embezzlement"
"328","Friday",1,"Prisoner Related Incidents"
"329","Friday",9,"Restraining Order Violations"
"330","Friday",7,"Liquor Violation"
"331","Friday",5,"Firearm Violations"
"332","Friday",3,"Search Warrants"
"333","Friday",1,"Operating Under the Influence"
"334","Friday",0,"Phone Call Complaints"
"335","Friday",1,"Landlord/Tenant Disputes"
"336","Friday",0,"HOME INVASION"
"337","Friday",0,"Service"
"338","Friday",0,"Criminal Harassment"
"339","Friday",0,"Harbor Related Incidents"
"340","Friday",1,"Arson"
"341","Friday",1,"Bomb Hoax"
"342","Friday",0,"Homicide"
"343","Saturday",48,"Towed"
"344","Saturday",52,"Verbal Disputes"
"345","Saturday",102,"Motor Vehicle Accident Response"
"346","Saturday",72,"Investigate Person"
"347","Saturday",44,"Drug Violation"
"348","Saturday",11,"Residential Burglary"
"349","Saturday",35,"Investigate Property"
"350","Saturday",67,"Medical Assistance"
"351","Saturday",0,"Other Burglary"
"352","Saturday",62,"Simple Assault"
"353","Saturday",16,"Violations"
"354","Saturday",80,"Larceny"
"355","Saturday",27,"Aggravated Assault"
"356","Saturday",14,"Harassment"
"357","Saturday",14,"Auto Theft"
"358","Saturday",45,"Other"
"359","Saturday",35,"Larceny From Motor Vehicle"
"360","Saturday",3,"Warrant Arrests"
"361","Saturday",27,"Property Lost"
"362","Saturday",13,"Robbery"
"363","Saturday",16,"Property Found"
"364","Saturday",43,"Vandalism"
"365","Saturday",14,"Fraud"
"366","Saturday",13,"Missing Person Reported"
"367","Saturday",2,"License Plate Related Incidents"
"368","Saturday",0,"Firearm Discovery"
"369","Saturday",10,"License Violation"
"370","Saturday",11,"Confidence Games"
"371","Saturday",2,"Auto Theft Recovery"
"372","Saturday",4,"Police Service Incidents"
"373","Saturday",10,"Disorderly Conduct"
"374","Saturday",2,"Evading Fare"
"375","Saturday",4,"Commercial Burglary"
"376","Saturday",5,"Fire Related Reports"
"377","Saturday",12,"Missing Person Located"
"378","Saturday",4,"Recovered Stolen Property"
"379","Saturday",8,"Assembly or Gathering Violations"
"380","Saturday",6,"Offenses Against Child / Family"
"381","Saturday",3,"Counterfeiting"
"382","Saturday",2,"Ballistics"
"383","Saturday",1,"Property Related Damage"
"384","Saturday",0,"Embezzlement"
"385","Saturday",0,"Prisoner Related Incidents"
"386","Saturday",3,"Restraining Order Violations"
"387","Saturday",3,"Liquor Violation"
"388","Saturday",4,"Firearm Violations"
"389","Saturday",4,"Search Warrants"
"390","Saturday",1,"Operating Under the Influence"
"391","Saturday",0,"Phone Call Complaints"
"392","Saturday",4,"Landlord/Tenant Disputes"
"393","Saturday",0,"HOME INVASION"
"394","Saturday",2,"Service"
"395","Saturday",1,"Criminal Harassment"
"396","Saturday",0,"Harbor Related Incidents"
"397","Saturday",0,"Arson"
"398","Saturday",0,"Bomb Hoax"
"399","Saturday",1,"Homicide"
