INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I152099547,3201,Property Lost,PROPERTY - LOST,B3,421,,7/10/2015 14:00,2015,7,Friday,14,Part Three,DELHI ST,42.27653354,-71.08916035,"(42.27653354, -71.08916035)"
I152097541,2647,Other,THREATS TO DO BODILY HARM,B2,298,,7/31/2015 18:07,2015,7,Friday,18,Part Two,ROCKLAND ST,42.3226803,-71.0854831,"(42.32268030, -71.08548310)"
I152094849,2610,Other,TRESPASSING,C6,221,,7/15/2015 10:24,2015,7,Wednesday,10,Part Two,E SECOND ST,42.33719922,-71.0425015,"(42.33719922, -71.04250150)"
I152094033,619,Larceny,LARCENY ALL OTHERS,B3,441,,7/31/2015 13:00,2015,7,Friday,13,Part One,KINGSDALE ST,42.29478707,-71.08206875,"(42.29478707, -71.08206875)"
I152093233,3201,Property Lost,PROPERTY - LOST,A1,77,,7/20/2015 0:00,2015,7,Monday,0,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I152093036,3115,Investigate Person,INVESTIGATE PERSON,E5,727,,7/1/2015 12:00,2015,7,Wednesday,12,Part Three,VFW PKWY,42.2802082,-71.17087959,"(42.28020820, -71.17087959)"
I152091196,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,323,,7/29/2015 11:23,2015,7,Wednesday,11,Part Two,WARREN ST,42.31534255,-71.08331762,"(42.31534255, -71.08331762)"
I152090870,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,369,,7/27/2015 0:00,2015,7,Monday,0,Part Two,NEPONSET AVE,42.29561644,-71.05405521,"(42.29561644, -71.05405521)"
I152090090,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,313,,7/11/2015 16:24,2015,7,Saturday,16,Part Two,TOWNSEND ST,42.31637446,-71.08290677,"(42.31637446, -71.08290677)"
I152090090,3125,Warrant Arrests,WARRANT ARREST,B2,313,,7/11/2015 16:24,2015,7,Saturday,16,Part Three,TOWNSEND ST,42.31637446,-71.08290677,"(42.31637446, -71.08290677)"
I152089209,617,Larceny,LARCENY THEFT FROM BUILDING,C6,219,,7/1/2015 0:00,2015,7,Wednesday,0,Part One,OLD HARBOR ST,42.33234764,-71.047443,"(42.33234764, -71.04744300)"
I152088845,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,366,,7/29/2015 0:00,2015,7,Wednesday,0,Part Two,DORCHESTER AVE,42.28965221,-71.06321734,"(42.28965221, -71.06321734)"
I152088610,3201,Property Lost,PROPERTY - LOST,B3,458,,7/7/2015 16:04,2015,7,Tuesday,16,Part Three,WOLCOTT ST,42.30273607,-71.08248544,"(42.30273607, -71.08248544)"
I152087955,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,803,,7/28/2015 9:21,2015,7,Tuesday,9,Part Two,CAMBRIDGE ST,42.35393493,-71.13652595,"(42.35393493, -71.13652595)"
I152087954,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,803,,7/22/2015 0:00,2015,7,Wednesday,0,Part Two,CAMBRIDGE ST,42.35393493,-71.13652595,"(42.35393493, -71.13652595)"
I152087383,619,Larceny,LARCENY ALL OTHERS,E18,523,,7/11/2015 11:48,2015,7,Saturday,11,Part One,HYDE PARK AVE,42.24260011,-71.13035022,"(42.24260011, -71.13035022)"
I152087369,619,Larceny,LARCENY ALL OTHERS,D4,594,,7/13/2015 12:00,2015,7,Monday,12,Part One,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.34243945, -71.08445530)"
I152086400,3201,Property Lost,PROPERTY - LOST,A1,66,,7/1/2015 0:00,2015,7,Wednesday,0,Part Three,PINCKNEY ST,42.35877431,-71.07142509,"(42.35877431, -71.07142509)"
I152084293,619,Larceny,LARCENY ALL OTHERS,E5,686,,7/20/2015 12:00,2015,7,Monday,12,Part One,LORRAINE ST,42.28414189,-71.14485739,"(42.28414189, -71.14485739)"
I152084018,1402,Vandalism,VANDALISM,D4,271,,7/4/2015 22:00,2015,7,Saturday,22,Part Two,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.33548200, -71.07586449)"
I152083927,619,Larceny,LARCENY ALL OTHERS,C6,232,,7/2/2015 0:00,2015,7,Thursday,0,Part One,E FIFTH ST,42.33406108,-71.02815007,"(42.33406108, -71.02815007)"
I152083420,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E5,695,,7/25/2015 10:30,2015,7,Saturday,10,Part Two,CENTRE ST,42.28642835,-71.15427278,"(42.28642835, -71.15427278)"
I152083317,3201,Property Lost,PROPERTY - LOST,D4,626,,7/29/2015 11:24,2015,7,Wednesday,11,Part Three,KILMARNOCK ST,42.34268073,-71.09937714,"(42.34268073, -71.09937714)"
I152083080,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E13,654,,7/3/2015 9:00,2015,7,Friday,9,Part Two,NEILLIAN CRES,42.31042761,-71.13020819,"(42.31042761, -71.13020819)"
I152083055,619,Larceny,LARCENY ALL OTHERS,E18,490,,7/31/2015 0:00,2015,7,Friday,0,Part One,ANNAFRAN ST,42.27314233,-71.11067921,"(42.27314233, -71.11067921)"
I152083039,2647,Other,THREATS TO DO BODILY HARM,A7,26,,7/19/2015 12:00,2015,7,Sunday,12,Part Two,MERIDIAN ST,42.37996489,-71.03923314,"(42.37996489, -71.03923314)"
I152082823,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,67,,7/25/2015 10:46,2015,7,Saturday,10,Part Two,CAMBRIDGE ST,42.36110964,-71.06741369,"(42.36110964, -71.06741369)"
I152082696,2670,Criminal Harassment,CRIMINAL HARASSMENT,A1,69,,7/12/2015 9:00,2015,7,Sunday,9,Part Two,CHARLES ST,42.35827471,-71.07057867,"(42.35827471, -71.07057867)"
I152082662,2660,Other,OTHER OFFENSE,D4,152,,7/16/2015 9:30,2015,7,Thursday,9,Part Two,TREMONT ST,42.34372964,-71.07206985,"(42.34372964, -71.07206985)"
I152082531,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E5,563,,7/12/2015 9:46,2015,7,Sunday,9,Part Two,BRADEEN ST,42.29072875,-71.12183517,"(42.29072875, -71.12183517)"
I152082268,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,602,,7/8/2015 12:00,2015,7,Wednesday,12,Part Two,HUNTINGTON AVE,42.33551534,-71.10083207,"(42.33551534, -71.10083207)"
I152081709,2629,Harassment,HARASSMENT,B3,433,,7/1/2015 9:00,2015,7,Wednesday,9,Part Two,NELSON ST,42.28267661,-71.08283064,"(42.28267661, -71.08283064)"
I152081700,3114,Investigate Property,INVESTIGATE PROPERTY,B2,319,,7/14/2015 3:53,2015,7,Tuesday,3,Part Three,NAZING CT,42.3075244,-71.08720471,"(42.30752440, -71.08720471)"
I152081683,3410,Towed,TOWED MOTOR VEHICLE,C11,347,,7/9/2015 9:50,2015,7,Thursday,9,Part Three,LYON ST,42.30638323,-71.06021218,"(42.30638323, -71.06021218)"
I152081429,619,Larceny,LARCENY ALL OTHERS,D14,788,,7/27/2015 8:00,2015,7,Monday,8,Part One,SUTHERLAND RD,42.34023408,-71.14800614,"(42.34023408, -71.14800614)"
I152081235,2647,Other,THREATS TO DO BODILY HARM,C6, ,,7/2/2015 6:39,2015,7,Thursday,6,Part Two,O'MEARA,,,"(0.00000000, 0.00000000)"
I152080527,1001,Counterfeiting,FORGERY / COUNTERFEITING,B2,311,,7/22/2015 16:27,2015,7,Wednesday,16,Part Two,WARREN ST,42.31865102,-71.08162344,"(42.31865102, -71.08162344)"
I152080021,3130,Search Warrants,SEARCH WARRANT,A1,77,,7/29/2015 9:00,2015,7,Wednesday,9,Part Three,BULFINCH PL,42.36152577,-71.06133846,"(42.36152577, -71.06133846)"
I152079498,3114,Investigate Property,INVESTIGATE PROPERTY,B2,266,,7/17/2015 10:55,2015,7,Friday,10,Part Three,BLUE HILL AVE,42.3238605,-71.07600196,"(42.32386050, -71.07600196)"
I152078701,2647,Other,THREATS TO DO BODILY HARM,B2,325,,7/21/2015 14:00,2015,7,Tuesday,14,Part Two,QUINCY ST,42.31332153,-71.07591511,"(42.31332153, -71.07591511)"
I152078567,619,Larceny,LARCENY ALL OTHERS,C6,196,,7/31/2015 12:09,2015,7,Friday,12,Part One,OLD COLONY AVE,42.33581104,-71.05575441,"(42.33581104, -71.05575441)"
I152078567,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C6,196,,7/31/2015 12:09,2015,7,Friday,12,Part Two,OLD COLONY AVE,42.33581104,-71.05575441,"(42.33581104, -71.05575441)"
I152078567,560,Other Burglary,BURGLARY - OTHER - FORCE,C6,196,,7/31/2015 12:09,2015,7,Friday,12,Part One,OLD COLONY AVE,42.33581104,-71.05575441,"(42.33581104, -71.05575441)"
I152078567,1300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,C6,196,,7/31/2015 12:09,2015,7,Friday,12,Part Two,OLD COLONY AVE,42.33581104,-71.05575441,"(42.33581104, -71.05575441)"
I152077675,3201,Property Lost,PROPERTY - LOST,D14,788,,7/7/2015 7:00,2015,7,Tuesday,7,Part Three,CHISWICK RD,42.33928823,-71.15006824,"(42.33928823, -71.15006824)"
I152077646,1001,Counterfeiting,FORGERY / COUNTERFEITING,D4,134,,7/23/2015 2:45,2015,7,Thursday,2,Part Two,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
I152077314,619,Larceny,LARCENY ALL OTHERS,B2,331,,7/6/2015 12:07,2015,7,Monday,12,Part One,COLUMBIA RD,42.31236298,-71.06890381,"(42.31236298, -71.06890381)"
I152076708,3115,Investigate Person,INVESTIGATE PERSON,E13,583,,7/23/2015 0:00,2015,7,Thursday,0,Part Three,MINDEN ST,42.32512504,-71.10520487,"(42.32512504, -71.10520487)"
I152076692,2647,Other,THREATS TO DO BODILY HARM,E18,516,,7/15/2015 12:00,2015,7,Wednesday,12,Part Two,NEPONSET AVE,42.24967245,-71.12004045,"(42.24967245, -71.12004045)"
I152076394,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E13,917,,7/17/2015 12:00,2015,7,Friday,12,Part Two,POND ST,42.31499993,-71.1153081,"(42.31499993, -71.11530810)"
I152076143,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,131,,7/28/2015 12:00,2015,7,Tuesday,12,Part Two,BEACON ST,42.35393998,-71.07802992,"(42.35393998, -71.07802992)"
I152076141,619,Larceny,LARCENY ALL OTHERS,D14,760,,7/21/2015 15:39,2015,7,Tuesday,15,Part One,WASHINGTON ST,42.34893308,-71.16177266,"(42.34893308, -71.16177266)"
I152075266,1001,Counterfeiting,FORGERY / COUNTERFEITING,C6,174,,7/5/2015 16:06,2015,7,Sunday,16,Part Two,ELLERY ST,42.33069205,-71.05826064,"(42.33069205, -71.05826064)"
I152074967,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,330,,7/11/2015 10:30,2015,7,Saturday,10,Part Two,WASHINGTON ST,42.30703332,-71.08226589,"(42.30703332, -71.08226589)"
I152074816,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E5,731,,7/27/2015 9:00,2015,7,Monday,9,Part Two,SANBORN AVE,42.28043136,-71.16411132,"(42.28043136, -71.16411132)"
I152073539,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,355,,7/14/2015 8:00,2015,7,Tuesday,8,Part Two,NEPONSET AVE,42.29620667,-71.05487852,"(42.29620667, -71.05487852)"
I152073334,1107,Fraud,FRAUD - IMPERSONATION,E5,684,,7/4/2015 13:30,2015,7,Saturday,13,Part Two,WESTBOURNE ST,42.28118608,-71.14286686,"(42.28118608, -71.14286686)"
I152073143,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E5,550,,7/3/2015 9:00,2015,7,Friday,9,Part Two,BLUE LEDGE DR,42.27620181,-71.13788919,"(42.27620181, -71.13788919)"
I152073007,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,172,,7/28/2015 21:23,2015,7,Tuesday,21,Part Two,ALBANY ST,42.33520569,-71.07110315,"(42.33520569, -71.07110315)"
I152072941,1402,Vandalism,VANDALISM,B3,464,,7/28/2015 20:00,2015,7,Tuesday,20,Part Two,FABYAN ST,42.28976255,-71.09089843,"(42.28976255, -71.09089843)"
I152072610,3201,Property Lost,PROPERTY - LOST,E18,496,,7/10/2015 0:00,2015,7,Friday,0,Part Three,THATCHER ST,42.26628086,-71.1195116,"(42.26628086, -71.11951160)"
I152072557,1107,Fraud,FRAUD - IMPERSONATION,E18,504,,7/27/2015 12:00,2015,7,Monday,12,Part Two,FLORIAN WAY,42.28741965,-71.11685707,"(42.28741965, -71.11685707)"
I152072538,617,Larceny,LARCENY THEFT FROM BUILDING,B2,289,,7/10/2015 14:00,2015,7,Friday,14,Part One,MALCOLM X BLVD,42.33087008,-71.08909494,"(42.33087008, -71.08909494)"
I152072373,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,288,,7/15/2015 11:53,2015,7,Wednesday,11,Part Two,WASHINGTON ST,42.32974821,-71.08454012,"(42.32974821, -71.08454012)"
I152072306,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E13,912,,7/2/2015 20:21,2015,7,Thursday,20,Part Three,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I152072239,3201,Property Lost,PROPERTY - LOST,A15,45,,7/12/2015 12:00,2015,7,Sunday,12,Part Three,MYSTIC ST,42.38003093,-71.06248252,"(42.38003093, -71.06248252)"
I152071444,724,Auto Theft,AUTO THEFT,C11,340,,7/20/2015 15:41,2015,7,Monday,15,Part One,DRAPER ST,42.30540715,-71.06547135,"(42.30540715, -71.06547135)"
I152071377,1001,Counterfeiting,FORGERY / COUNTERFEITING,E18,520,,7/17/2015 15:00,2015,7,Friday,15,Part Two,HARVARD AVE,42.25602833,-71.12222399,"(42.25602833, -71.12222399)"
I152071058,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,151,,7/31/2015 12:00,2015,7,Friday,12,Part Two,BERKELEY ST,42.34646505,-71.07070436,"(42.34646505, -71.07070436)"
I152070817,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,A1,73,,7/18/2015 8:00,2015,7,Saturday,8,Part One,CENTER PLZ,42.35988372,-71.06016189,"(42.35988372, -71.06016189)"
I152070767,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,141,,7/20/2015 17:00,2015,7,Monday,17,Part One,NEWBURY ST,42.34895777,-71.08489204,"(42.34895777, -71.08489204)"
I152070476,724,Auto Theft,AUTO THEFT,C11,350,,7/16/2015 16:48,2015,7,Thursday,16,Part One,FREEPORT ST,42.30441894,-71.05571827,"(42.30441894, -71.05571827)"
I152070476,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C11,350,,7/16/2015 16:48,2015,7,Thursday,16,Part One,FREEPORT ST,42.30441894,-71.05571827,"(42.30441894, -71.05571827)"
I152070468,3201,Property Lost,PROPERTY - LOST,A1,105,,7/31/2015 16:00,2015,7,Friday,16,Part Three,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)"
I152070396,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,469,,7/24/2015 16:30,2015,7,Friday,16,Part Three,ALMONT ST,42.2752767,-71.09554245,"(42.27527670, -71.09554245)"
I152070374,617,Larceny,LARCENY THEFT FROM BUILDING,A7,33,,7/15/2015 0:00,2015,7,Wednesday,0,Part One,JEFFRIES ST,42.36486798,-71.02957895,"(42.36486798, -71.02957895)"
I152070353,617,Larceny,LARCENY THEFT FROM BUILDING,C11,357,,7/1/2015 12:00,2015,7,Wednesday,12,Part One,BLOOMFIELD ST,42.29910777,-71.06829572,"(42.29910777, -71.06829572)"
I152070319,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,151,,7/10/2015 12:00,2015,7,Friday,12,Part Two,APPLETON ST,42.3464515,-71.06986052,"(42.34645150, -71.06986052)"
I152070237,617,Larceny,LARCENY THEFT FROM BUILDING,A1,69,,7/24/2015 8:00,2015,7,Friday,8,Part One,MOUNT VERNON ST,42.35738717,-71.07216538,"(42.35738717, -71.07216538)"
I152070229,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,355,,7/2/2015 13:00,2015,7,Thursday,13,Part Two,PARKMAN ST,42.29709649,-71.05734054,"(42.29709649, -71.05734054)"
I152070228,619,Larceny,LARCENY ALL OTHERS,A15,900,,7/14/2015 8:00,2015,7,Tuesday,8,Part One,DECATUR ST,42.37829205,-71.05387024,"(42.37829205, -71.05387024)"
I152070174,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,816,,7/31/2015 9:00,2015,7,Friday,9,Part Three,ROYAL ST,42.35846598,-71.13058067,"(42.35846598, -71.13058067)"
I152070147,613,Larceny,LARCENY SHOPLIFTING,C6,186,,7/15/2015 15:54,2015,7,Wednesday,15,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I152068994,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,621,,7/12/2015 16:00,2015,7,Sunday,16,Part Two,BEACON ST,42.35055412,-71.09056227,"(42.35055412, -71.09056227)"
I152068968,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A1,119,,7/22/2015 14:00,2015,7,Wednesday,14,Part Two,TREMONT ST,42.35624888,-71.06227065,"(42.35624888, -71.06227065)"
I152068894,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,61,,7/25/2015 0:01,2015,7,Saturday,0,Part One,N WASHINGTON ST,42.36711115,-71.05877263,"(42.36711115, -71.05877263)"
I152068777,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,945,,7/15/2015 12:00,2015,7,Wednesday,12,Part One,WESTVIEW ST,42.29073239,-71.08528234,"(42.29073239, -71.08528234)"
I152068728,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,C11,378,,7/19/2015 9:00,2015,7,Sunday,9,Part Three,PIERCE AVE,42.28789854,-71.050054,"(42.28789854, -71.05005400)"
I152068709,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11, ,,7/24/2015 13:00,2015,7,Friday,13,Part Two,O'DONNELL,-1,-1,"(-1.00000000, -1.00000000)"
